"dt","geocodeisp","geocodeasns","count","pct_25_norm","pct_50_norm","pct_75_norm"
"2018-05-31","Cox Communications Inc.","[22773]","296","-16.500000143423676","-1.0000000018626451","27.800000039860606"
"2018-06-01","Cox Communications Inc.","[22773]","321","-26.099999928503166","-14.000000126316081","20.400000001473018"
"2018-06-02","Cox Communications Inc.","[22773]","172","-10.900000052060932","-3.700000059325248","32.100000011269"
"2018-06-03","Cox Communications Inc.","[22773]","162","-16.200000010547228","4.799999989452772","51.600000046077184"
"2018-06-04","Cox Communications Inc.","[22773]","293","-17.60000011563534","-4.600000007485505","37.09999999773572"
"2018-06-05","Cox Communications Inc.","[22773]","354","-13.699999872187618","5.6999999960680725","43.999999994412065"
"2018-06-06","Cox Communications Inc.","[22773]","360","-27.699999998927524","-10.700000773795182","23.69999998700223"
"2018-06-07","Cox Communications Inc.","[22773]","178","-6.000000325962901","15.499999642372075","47.39999964198796"
"2018-05-22","Level 3 Parent, LLC","[3356]","44","-9.700000013253884","-5.400000023655593","176.89999999129213"
"2018-05-23","Level 3 Parent, LLC","[3356, 3549]","263","-18.000000156462193","-3.9000001415843144","20.299999859184027"
"2018-05-24","Level 3 Parent, LLC","[3356, 3549]","290","-15.000000083091436","1.8999999156221747","34.69999990193173"
"2018-05-25","Level 3 Parent, LLC","[30686, 3549, 3356]","160","-10.999999998603016","0.30000018887221813","20.899999986795592"
"2018-05-26","Level 3 Parent, LLC","[3549]","34","10.29999990388751","17.499999839812517","56.299999911338546"
"2018-05-27","Level 3 Parent, LLC","[3549]","18","59.699999978765845","60.70000000856817","156.80000024102628"
"2018-05-28","Level 3 Parent, LLC","[3549, 3356]","20","0.30000001430744305","4.5000000321888365","44.500000003608875"
"2018-05-29","Level 3 Parent, LLC","[3549, 3356]","367","-15.59999999310844","-2.199999996926863","12.399999998043995"
"2018-05-30","Level 3 Parent, LLC","[3549, 3356]","244","-17.899999997098348","-4.300000129660475","6.700000001387707"
"2018-05-31","Level 3 Parent, LLC","[3356, 3549]","334","-18.500000005587935","0.7000000005064066","34.499999998137355"
"2018-06-01","Level 3 Parent, LLC","[3356, 3549]","479","-17.59999994806094","8.099999992055018","40.90000000746841"
"2018-06-02","Level 3 Parent, LLC","[3356, 3549]","36","-22.19999998761341","12.200000018347055","18.500000005587935"
"2018-06-03","Level 3 Parent, LLC","[3549, 3356]","35","-16.000000017811544","-9.00000000547152","17.89999990432989"
"2018-06-04","Level 3 Parent, LLC","[3356, 10753, 3549]","197","-17.300000043178443","3.8999999160296284","50.99999999947613"
"2018-06-05","Level 3 Parent, LLC","[3549, 3356]","286","-17.09999991726363","4.50000000273576","19.299999948998448"
"2018-06-06","Level 3 Parent, LLC","[3549, 3356]","279","-18.500000009225914","2.5999999743362423","24.399999991146615"
"2018-06-07","Level 3 Parent, LLC","[3549, 3356]","161","-24.50000035762787","-15.600000359932892","34.99999964237213"
"2018-05-22","MCI Communications Services, Inc. d/b/a Verizon Business","[701]","59","-13.49999982630834","-9.30000003380701","0.0"
"2018-05-23","MCI Communications Services, Inc. d/b/a Verizon Business","[701, 2828, 7046]","338","-13.500000140993507","-4.700000140816087","7.199999876320362"
"2018-05-24","MCI Communications Services, Inc. d/b/a Verizon Business","[15133, 2828, 701]","354","-11.500000083818918","-2.20000008266652","12.999999918974936"
"2018-05-25","MCI Communications Services, Inc. d/b/a Verizon Business","[701, 2828]","364","-10.400000013760291","-0.10000006295740604","15.599999984260648"
"2018-05-26","MCI Communications Services, Inc. d/b/a Verizon Business","[2828, 701]","208","-11.100000236183405","-2.800000089337118","8.299999911338091"
"2018-05-27","MCI Communications Services, Inc. d/b/a Verizon Business","[701]","265","-14.499999932013452","-5.899999989196658","7.0000000996515155"
"2018-05-28","MCI Communications Services, Inc. d/b/a Verizon Business","[701, 2828]","251","-7.999999997613486","1.6000000541680492","20.000000002386514"
"2018-05-29","MCI Communications Services, Inc. d/b/a Verizon Business","[2828, 701]","378","-13.00000000001387","-2.3999999773225227","9.999999999999773"
"2018-05-30","MCI Communications Services, Inc. d/b/a Verizon Business","[2828, 701]","798","-11.499999998530257","-0.49999999853048394","19.5000000014698"
"2018-05-31","MCI Communications Services, Inc. d/b/a Verizon Business","[7046, 2828, 701]","394","-17.000000001862645","-4.000000001862702","15.999999998137355"
"2018-06-01","MCI Communications Services, Inc. d/b/a Verizon Business","[2828, 701]","264","-16.40000000002874","-4.400000000029195","22.59999998227613"
"2018-06-02","MCI Communications Services, Inc. d/b/a Verizon Business","[701]","163","-11.400000003050081","-2.299999992828816","9.900000006426126"
"2018-06-03","MCI Communications Services, Inc. d/b/a Verizon Business","[701, 2828]","410","-9.900000019115396","-0.20000001054722816","15.799999989452772"
"2018-06-04","MCI Communications Services, Inc. d/b/a Verizon Business","[2828, 701]","415","-15.700000010838266","-6.10000000015134","22.899999999848717"
"2018-06-05","MCI Communications Services, Inc. d/b/a Verizon Business","[701, 2828]","467","-14.700000002572779","-1.5000000203144737","18.299999997427165"
"2018-06-06","MCI Communications Services, Inc. d/b/a Verizon Business","[2828, 701]","446","-15.699999998934743","-3.8999999851512257","10.3000000010652"
"2018-06-07","MCI Communications Services, Inc. d/b/a Verizon Business","[701, 2828]","238","-12.500000357627869","1.6599996387958527","15.69999960064888"
"2018-05-22","Qwest Communications Company, LLC","[209]","70","-8.70000006398186","-1.5999999013729393","17.79999997233972"
"2018-05-23","Qwest Communications Company, LLC","[209]","255","-21.400000143330544","-8.700000140815973","8.399999856919749"
"2018-05-24","Qwest Communications Company, LLC","[209]","191","-18.500000122003257","-5.500000203028321","13.800000073388219"
"2018-05-25","Qwest Communications Company, LLC","[209]","313","-12.800000025890768","-4.100000020116568","10.199999989708886"
"2018-05-26","Qwest Communications Company, LLC","[209]","88","-22.000000088155502","0.4999998491257429","56.099999928846955"
"2018-05-27","Qwest Communications Company, LLC","[209]","190","-12.39999993777019","-0.19999989308416843","6.800000090152025"
"2018-05-28","Qwest Communications Company, LLC","[209]","87","-22.999999997609848","-2.1827872842550278E-8","13.69999998860294"
"2018-05-29","Qwest Communications Company, LLC","[209]","329","-14.300000000028604","2.700000002980005","27.59999999968545"
"2018-05-30","Qwest Communications Company, LLC","[209]","233","-15.200000007098424","-6.500000117739546","11.699999931806815"
"2018-05-31","Qwest Communications Company, LLC","[209]","241","-25.000000001862645","-7.999999914318323","23.099999991245568"
"2018-06-01","Qwest Communications Company, LLC","[209]","230","-13.399999981402289","-0.10000000003310561","26.999999958434273"
"2018-06-02","Qwest Communications Company, LLC","[209]","128","-1.4000000054948032","27.700000018347055","39.60000002430752"
